Name,Max Date (MJD),R.A. (rad),Dec. (rad),z,Type
SN2011ep,55750.5,4.466717889315011,0.5718503420244065,0.28,Ic
PTF11ixk,55765.5,3.4982965011276987,0.5451468044688933,0.021,Ic
PTF11izq,55767.5,3.610657889489007,0.6994528180787553,0.062,Ib
PTF11ilr,55771.5,6.054292647985746,0.2677286591191191,-1.0,Ib
SN2011ee,55773.5,6.143365526361277,0.15319175016611195,0.03,Ic
PTF11kaa,55775.5,4.565793685966034,0.8178302594089518,0.04,Ib
SN2011gd,55790.5,4.339009966285021,0.3759650749165311,0.0098,Ib
PTF11klg,55810.5,5.790851196248679,0.11319769196122223,0.026522,Ic
PTF11kmb,55820.5,5.859478269657617,0.6334405872588809,0.017,Ib-Ca
SN2011fl,55829.5,0.20652553760901066,0.48566455336056724,0.0158,Ib
SN2011ft,55829.5,4.680607989146916,0.5073604261632161,0.0173,Ib
SN2011gh,55829.5,1.9733060981445532,0.452111762043811,0.0189,Ib
PTF11qcj,55866.5,3.4631339344641865,0.8255261917828846,0.028,Ib
SN2011fz,55888.5,6.014137167025616,0.03999664775636506,0.0161,Ib
LSQ11jw,55909.5,0.5444990933909309,0.014573499254152652,0.02,Ic
SN2011jm,55918.5,3.3809283812798623,0.046323466294844504,0.0031,Ic
SN2011it,55919.5,5.771544945839535,0.5532153807985829,0.015894,Ic
SN2011kf,55925.5,3.826454761528716,0.28825370688188834,0.245,Ic
SN2012C,55930.5,2.519854014151853,0.573202463140337,0.0145,Ic
SN2012F,55930.5,0.14541065218886423,0.06640684491561352,0.03,Ib
SN2011kg,55937.5,0.4352787643881632,0.5222759453089355,0.1924,SLSN-I
SN2012il,55941.5,2.5578440142035967,0.34629450995353944,0.175,SLSN-I
SN2012aa,55954.5,3.8945196934744084,-0.061639227576722445,0.0797,Ic
SN2012ap,55975.5,1.3099946855514706,-0.05842591481924052,0.01224,Ic BL
PTF12bwq,56007.5,3.6080624394471874,0.4414092818671615,0.04,Ib
PS1-12sk,56013.5,2.2903707791723695,0.7499917112116539,0.05402,Ibn
LSQ12bph,56017.5,4.134424653027811,0.4028141373786573,0.045,Ic
SN2012bw,56039.5,4.245231001506959,0.567436501308849,0.0309,Ic
PTF12cde,56068.5,3.6607110235541183,0.6325189564510917,0.0125,Ib/c
